Gss year for this respondent                       ;Fathers highest degree;Mothers highest degree;Respondents sex;Race of respondent;Number of persons in household;Respondents income;Total family income;Vote obama or mccain;Vote obama or romney;Rs highest degree;Age of respondent;Number of children;Respondent id number;Number of hours worked last week;Rs occupational prestige score  (1970);Govt or private employee;Travel time to work;Marital status;Fathers census occupation code (1970);Mothers census occupation code (1980);Number of brothers and sisters;Ballot used for interview
2018;Not applicable;Lt high school;Female;Other;4;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;19;1;475;Not applicable;0;Not applicable;Not applicable;Never married;Not applicable;Not applicable;4;Ballot c
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;70;3;476;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;9;Ballot b
2018;Bachelor;Bachelor;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;40;0;477;42;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;Lt high school;Lt high school;Male;Other;3;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;59;2;478;35;0;Private;Not applicable;Married;Not applicable;Not applicable;8;Ballot b
2018;Lt high school;Lt high school;Female;White;3;Not applicable;Not applicable;Not applicable;Romney;High school;70;3;479;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot a
2018;High school;Bachelor;Male;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;31;0;480;30;0;Private;Not applicable;Never married;Not applicable;Not applicable;4;Ballot c
2018;Graduate;Bachelor;Female;Other;1;Not applicable;Not applicable;Not applicable;Romney;Graduate;51;0;481;36;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot b
2018;High school;High school;Female;Black;2;Not applicable;Not applicable;Not applicable;Obama;High school;32;0;482;30;0;Government;Not applicable;Married;Not applicable;Not applicable;3;Ballot b
2018;High school;High school;Female;White;3;Not applicable;Not applicable;Not applicable;No answer;High school;60;2;483;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;7;Ballot a
2018;High school;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;27;0;484;35;0;Private;Not applicable;Never married;Not applicable;Not applicable;0;Ballot c
2018;Lt high school;Lt high school;Male;White;1;Not applicable;Not applicable;Not applicable;Romney;Bachelor;89 or older;2;485;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;1;Ballot a
2018;High school;Not applicable;Female;Black;4;Not applicable;Not applicable;Not applicable;Obama;High school;50;5;486;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;4;Ballot c
2018;High school;High school;Female;Black;5;Not applicable;Not applicable;Not applicable;Obama;Bachelor;44;6;487;20;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot a
2018;Not applicable;Lt high school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;85;4;488;Not applicable;0;Government;Not applicable;Widowed;Not applicable;Not applicable;10;Ballot b
2018;Lt high school;Don't know;Male;White;5;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;33;3;489;60;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot b
2018;Not applicable;High school;Female;White;3;Not applicable;Not applicable;Not applicable;Obama;High school;31;1;490;Not applicable;0;Government;Not applicable;Never married;Not applicable;Not applicable;1;Ballot c
2018;Not applicable;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;46;2;491;50;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot b
2018;Graduate;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Graduate;72;3;492;70;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;Bachelor;Graduate;Female;White;3;Not applicable;Not applicable;Not applicable;Obama;Graduate;50;2;493;15;0;Private;Not applicable;Divorced;Not applicable;Not applicable;1;Ballot c
2018;Graduate;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;Graduate;66;2;494;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;Graduate;Bachelor;Female;White;1;Not applicable;Not applicable;Not applicable;Romney;Bachelor;35;0;495;38;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot c
2018;Don't know;High school;Female;Black;3;Not applicable;Not applicable;Not applicable;Obama;Lt high school;35;2;496;44;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot a
2018;Not applicable;High school;Female;Black;3;Not applicable;Not applicable;Not applicable;Obama;High school;33;1;497;35;0;Private;Not applicable;Never married;Not applicable;Not applicable;5;Ballot c
2018;Not applicable;Lt high school;Female;White;1;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;66;5;498;Not applicable;0;Private;Not applicable;Separated;Not applicable;Not applicable;9;Ballot c
2018;Not applicable;Lt high school;Male;White;3;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;53;5;499;10;0;Private;Not applicable;Married;Not applicable;Not applicable;7;Ballot b
2018;High school;High school;Female;Black;2;Not applicable;Not applicable;Not applicable;No answer;Bachelor;37;4;500;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;5;Ballot a
2018;High school;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;33;0;501;44;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Bachelor;Bachelor;Male;Black;4;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;28;2;502;40;0;Private;Not applicable;Married;Not applicable;Not applicable;0;Ballot a
2018;Junior college;High school;Female;White;3;Not applicable;Not applicable;Not applicable;Romney;Bachelor;30;1;503;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;High school;High school;Male;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;37;1;504;40;0;Government;Not applicable;Married;Not applicable;Not applicable;1;Ballot c
2018;High school;High school;Male;Other;2;Not applicable;Not applicable;Not applicable;Obama;High school;38;0;505;40;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Lt high school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;High school;84;2;506;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;Graduate;Graduate;Male;White;4;Not applicable;Not applicable;Not applicable;Romney;Graduate;66;2;507;50;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Bachelor;Graduate;Female;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;29;0;508;40;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot a
2018;Graduate;Graduate;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;39;1;509;45;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot c
2018;Graduate;Bachelor;Female;Black;4;Not applicable;Not applicable;Not applicable;Obama;Bachelor;33;2;510;45;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;High school;High school;Female;Other;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;68;0;511;2;0;Private;Not applicable;Widowed;Not applicable;Not applicable;1;Ballot c
2018;Graduate;Graduate;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;70;2;512;30;0;Don't know;Not applicable;Married;Not applicable;Not applicable;2;Ballot a
2018;High school;Lt high school;Male;White;3;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;50;2;513;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;25;Ballot a
2018;Junior college;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;54;2;514;40;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot a
2018;Not applicable;High school;Male;White;4;Not applicable;Not applicable;Not applicable;Romney;Bachelor;45;2;515;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;0;Ballot a
2018;Graduate;Junior college;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;48;1;516;65;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot c
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;Bachelor;73;2;517;Not applicable;0;Don't know;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;Don't know;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;77;1;518;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;6;Ballot a
2018;Lt high school;Lt high school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;59;1;519;50;0;Private;Not applicable;Widowed;Not applicable;Not applicable;4;Ballot c
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;High school;72;2;520;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Lt high school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;Bachelor;68;6;521;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;High school;Junior college;Female;White;2;Not applicable;Not applicable;Not applicable;Romney;High school;60;1;522;44;0;Private;Not applicable;Married;Not applicable;Not applicable;5;Ballot b
2018;High school;High school;Male;White;3;Not applicable;Not applicable;Not applicable;Romney;High school;63;3;523;60;0;No answer;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;High school;Not applicable;Male;White;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;45;0;524;25;0;Private;Not applicable;Never married;Not applicable;Not applicable;0;Ballot a
2018;Graduate;High school;Female;White;6;Not applicable;Not applicable;Not applicable;Romney;High school;35;4;525;30;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot c
2018;Don't know;Junior college;Female;White;6;Not applicable;Not applicable;Not applicable;Not applicable;High school;22;2;526;Not applicable;0;Don't know;Not applicable;Never married;Not applicable;Not applicable;3;Ballot b
2018;Not applicable;High school;Female;White;5;Not applicable;Not applicable;Not applicable;Not applicable;High school;36;3;527;35;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot a
2018;Lt high school;Not applicable;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;76;4;528;6;0;Private;Not applicable;Widowed;Not applicable;Not applicable;0;Ballot b
2018;Bachelor;High school;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;61;2;529;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot a
2018;High school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;56;1;530;45;0;Private;Not applicable;Divorced;Not applicable;Not applicable;1;Ballot c
2018;Not applicable;High school;Female;Black;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;26;0;531;48;0;Government;Not applicable;Never married;Not applicable;Not applicable;4;Ballot a
2018;Not applicable;High school;Male;Black;1;Not applicable;Not applicable;Not applicable;Obama;High school;59;6;532;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;6;Ballot b
2018;Lt high school;High school;Male;Black;1;Not applicable;Not applicable;Not applicable;Obama;High school;55;1;533;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;7;Ballot b
2018;Graduate;High school;Male;White;5;Not applicable;Not applicable;Not applicable;Romney;Graduate;57;2;534;40;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot c
2018;High school;High school;Female;White;4;Not applicable;Not applicable;Not applicable;Romney;High school;59;3;535;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;7;Ballot a
2018;Don't know;Lt high school;Female;White;4;Not applicable;Not applicable;Not applicable;Romney;High school;33;0;536;18;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;Lt high school;Lt high school;Female;Other;1;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;75;6;537;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;14;Ballot b
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;Bachelor;61;2;538;44;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot a
2018;High school;Junior college;Female;White;5;Not applicable;Not applicable;Not applicable;Not applicable;High school;39;3;539;60;0;Private;Not applicable;Married;Not applicable;Not applicable;6;Ballot c
2018;Lt high school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;38;2;540;40;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot a
2018;Junior college;Graduate;Female;White;4;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;49;2;541;55;0;Private;Not applicable;Divorced;Not applicable;Not applicable;3;Ballot c
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;71;2;542;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Bachelor;Junior college;Male;Black;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;47;0;543;60;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot a
2018;Lt high school;Lt high school;Male;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;52;4;544;50;0;Private;Not applicable;Married;Not applicable;Not applicable;11;Ballot c
2018;Not applicable;Lt high school;Female;White;1;Not applicable;Not applicable;Not applicable;Not applicable;Junior college;35;2;545;30;0;Private;Not applicable;Divorced;Not applicable;Not applicable;2;Ballot b
2018;Don't know;Lt high school;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;54;2;546;Not applicable;0;Not applicable;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;Don't know;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Don't know;High school;39;3;547;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot a
2018;High school;Don't know;Male;Black;1;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;70;2;548;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;10;Ballot a
2018;Lt high school;Lt high school;Female;Black;1;Not applicable;Not applicable;Not applicable;Obama;Lt high school;78;4;549;Not applicable;0;Government;Not applicable;Widowed;Not applicable;Not applicable;4;Ballot a
2018;High school;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;74;2;550;Not applicable;0;Government;Not applicable;Divorced;Not applicable;Not applicable;3;Ballot a
2018;High school;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;Bachelor;65;2;551;5;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot a
2018;Bachelor;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;61;1;552;30;0;Private;Not applicable;Divorced;Not applicable;Not applicable;2;Ballot b
2018;High school;High school;Female;White;3;Not applicable;Not applicable;Not applicable;Romney;Bachelor;53;2;553;55;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot a
2018;Lt high school;High school;Female;Other;6;Not applicable;Not applicable;Not applicable;Not applicable;High school;21;0;554;20;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot c
2018;Bachelor;Bachelor;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;41;2;555;36;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Lt high school;Lt high school;Female;White;2;Not applicable;Not applicable;Not applicable;Romney;Junior college;62;4;556;25;0;Private;Not applicable;Married;Not applicable;Not applicable;7;Ballot a
2018;Bachelor;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;Bachelor;71;3;557;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;7;Ballot b
2018;Don't know;Lt high school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;89 or older;2;558;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;4;Ballot c
2018;Bachelor;High school;Male;White;3;Not applicable;Not applicable;Not applicable;Obama;Bachelor;66;3;559;50;0;Private;Not applicable;Married;Not applicable;Not applicable;6;Ballot b
2018;Graduate;High school;Male;White;3;Not applicable;Not applicable;Not applicable;Obama;Graduate;28;0;560;89;0;Private;Not applicable;Never married;Not applicable;Not applicable;0;Ballot c
2018;Not applicable;Bachelor;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;85;2;561;Not applicable;0;Government;Not applicable;Widowed;Not applicable;Not applicable;0;Ballot b
2018;Not applicable;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;70;2;562;25;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;High school;Lt high school;Female;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;29;0;563;45;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot a
2018;Graduate;Bachelor;Male;Other;4;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;39;2;564;40;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot a
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;28;0;565;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot c
2018;Graduate;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;74;2;566;Not applicable;0;Government;Not applicable;Widowed;Not applicable;Not applicable;2;Ballot c
2018;Lt high school;Lt high school;Female;White;4;Not applicable;Not applicable;Not applicable;Obama;Bachelor;53;2;567;40;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot b
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Graduate;66;2;568;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;3;Ballot a
2018;Bachelor;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;67;3;569;50;0;Private;Not applicable;Married;Not applicable;Not applicable;6;Ballot b
2018;Bachelor;Not applicable;Female;Other;2;Not applicable;Not applicable;Not applicable;No answer;Bachelor;No answer;0;570;45;0;Government;Not applicable;Married;Not applicable;Not applicable;3;Ballot b
2018;Bachelor;Bachelor;Female;White;1;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;28;0;571;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot b
2018;Bachelor;Bachelor;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;23;0;572;55;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot c
2018;Graduate;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Graduate;37;0;573;60;0;Don't know;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;High school;High school;Male;Black;1;Not applicable;Not applicable;Not applicable;Obama;High school;27;0;574;60;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot c
2018;Not applicable;Junior college;Female;Black;5;Not applicable;Not applicable;Not applicable;Not applicable;Junior college;32;3;575;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;6;Ballot c
2018;Not applicable;High school;Female;Black;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;40;6;576;20;0;Private;Not applicable;Divorced;Not applicable;Not applicable;13;Ballot a
2018;Not applicable;High school;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;22;0;577;Not applicable;0;Not applicable;Not applicable;Never married;Not applicable;Not applicable;2;Ballot c
2018;Not applicable;High school;Male;Black;3;Not applicable;Not applicable;Not applicable;Obama;High school;38;1;578;40;0;Private;Not applicable;Separated;Not applicable;Not applicable;3;Ballot c
2018;High school;High school;Female;Black;2;Not applicable;Not applicable;Not applicable;Obama;High school;45;3;579;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;11;Ballot b
2018;High school;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;63;1;580;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;2;Ballot a
2018;Not applicable;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;30;0;581;37;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot b
2018;Not applicable;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;25;0;582;20;0;Private;Not applicable;Never married;Not applicable;Not applicable;0;Ballot a
2018;High school;High school;Female;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;44;1;583;40;0;Private;Not applicable;Divorced;Not applicable;Not applicable;2;Ballot c
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;56;1;584;45;0;Government;Not applicable;Never married;Not applicable;Not applicable;2;Ballot b
2018;Lt high school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;45;2;585;17;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;Don't know;Lt high school;Female;Other;4;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;27;3;586;30;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot b
2018;Lt high school;Lt high school;Male;Other;4;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;53;2;587;40;0;Private;Not applicable;Married;Not applicable;Not applicable;6;Ballot b
2018;Not applicable;Lt high school;Female;Black;1;Not applicable;Not applicable;Not applicable;Obama;Junior college;66;1;588;32;0;Private;Not applicable;Widowed;Not applicable;Not applicable;10;Ballot b
2018;Not applicable;Bachelor;Female;Black;3;Not applicable;Not applicable;Not applicable;Obama;Bachelor;48;3;589;40;0;Private;Not applicable;Divorced;Not applicable;Not applicable;7;Ballot a
2018;Junior college;Bachelor;Female;Black;3;Not applicable;Not applicable;Not applicable;Obama;High school;50;2;590;40;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;High school;Lt high school;Female;Other;5;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;18;0;591;20;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot b
2018;Bachelor;Graduate;Male;Black;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;51;1;592;25;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot c
2018;High school;High school;Female;Black;1;Not applicable;Not applicable;Not applicable;No answer;High school;63;4;593;36;0;Private;Not applicable;Divorced;Not applicable;Not applicable;5;Ballot b
2018;Not applicable;High school;Female;Black;3;Not applicable;Not applicable;Not applicable;Obama;High school;57;3;594;22;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;Bachelor;High school;Male;Black;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;68;3;595;Not applicable;0;Don't know;Not applicable;Widowed;Not applicable;Not applicable;5;Ballot b
2018;High school;Lt high school;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;High school;64;1;596;40;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Not applicable;Lt high school;Male;Other;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;26;1;597;50;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot a
2018;High school;Junior college;Female;White;2;Not applicable;Not applicable;Not applicable;No answer;Junior college;58;0;598;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;Lt high school;Junior college;Female;Black;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;53;1;599;60;0;Government;Not applicable;Married;Not applicable;Not applicable;4;Ballot b
2018;Lt high school;Lt high school;Male;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;28;0;600;38;0;Private;Not applicable;Never married;Not applicable;Not applicable;6;Ballot b
2018;Not applicable;Lt high school;Female;White;4;Not applicable;Not applicable;Not applicable;Obama;Lt high school;30;1;601;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot a
2018;Junior college;Junior college;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;Junior college;53;1;602;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Lt high school;Not applicable;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;High school;56;3;603;50;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;High school;High school;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;20;0;604;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot a
2018;High school;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;64;0;605;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot b
2018;High school;Graduate;Male;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;40;2;606;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot a
2018;Lt high school;Lt high school;Female;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;64;4;607;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;13;Ballot b
2018;Not applicable;High school;Female;White;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;39;3;608;30;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot a
2018;Lt high school;Lt high school;Female;White;5;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;42;3;609;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;6;Ballot c
2018;Lt high school;Lt high school;Male;Other;5;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;22;0;610;45;0;Private;Not applicable;Never married;Not applicable;Not applicable;4;Ballot a
2018;Lt high school;Lt high school;Male;Other;3;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;51;6;611;30;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot a
2018;Lt high school;Lt high school;Female;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;40;5;612;32;0;Private;Not applicable;Divorced;Not applicable;Not applicable;3;Ballot c
2018;Lt high school;Lt high school;Male;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;40;2;613;70;0;Private;Not applicable;Divorced;Not applicable;Not applicable;4;Ballot a
2018;Not applicable;Lt high school;Female;White;5;Not applicable;Not applicable;Not applicable;Obama;High school;24;1;614;Not applicable;0;Not applicable;Not applicable;Married;Not applicable;Not applicable;4;Ballot b
2018;Don't know;Don't know;Female;White;5;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;27;3;615;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;5;Ballot b
2018;Not applicable;Junior college;Female;Other;4;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;34;2;616;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;5;Ballot c
2018;Lt high school;High school;Female;Other;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;24;0;617;Not applicable;0;Not applicable;Not applicable;Never married;Not applicable;Not applicable;0;Ballot c
2018;Don't know;Lt high school;Female;Other;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;34;2;618;Not applicable;0;Not applicable;Not applicable;Married;Not applicable;Not applicable;5;Ballot b
2018;High school;Lt high school;Female;Other;3;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;44;2;619;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;7;Ballot c
2018;High school;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Romney;High school;80;4;620;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;2;Ballot b
2018;High school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;61;2;621;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Bachelor;Junior college;Female;Black;5;Not applicable;Not applicable;Not applicable;Obama;High school;39;3;622;13;0;Private;Not applicable;Divorced;Not applicable;Not applicable;9;Ballot a
2018;Not applicable;Graduate;Female;White;3;Not applicable;Not applicable;Not applicable;Obama;Graduate;41;1;623;60;0;Government;Not applicable;Never married;Not applicable;Not applicable;4;Ballot b
2018;Not applicable;Graduate;Male;Other;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;34;2;624;53;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot a
